File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.547e+01
Avg = 8.344e+00
SD = 5.907e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.547e+00,1.274e+00,296646,2.355e+01
2,2.547e+00,5.094e+00,3.821e+00,172082,1.419e+01
3,5.094e+00,7.642e+00,6.368e+00,142388,1.148e+01
4,7.642e+00,1.019e+01,8.915e+00,133036,1.053e+01
5,1.019e+01,1.274e+01,1.146e+01,140790,1.155e+01
6,1.274e+01,1.528e+01,1.401e+01,171316,1.350e+01
7,1.528e+01,1.783e+01,1.656e+01,120309,1.001e+01
8,1.783e+01,2.038e+01,1.910e+01,50623,3.996e+00
9,2.038e+01,2.292e+01,2.165e+01,49446,1.004e+00
10,2.292e+01,2.547e+01,2.420e+01,4032,1.913e-01
