File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.455e+01
Avg = 4.891e+00
SD = 3.797e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.455e+00,7.273e-01,141574,2.801e+01
2,1.455e+00,2.909e+00,2.182e+00,79440,1.607e+01
3,2.909e+00,4.364e+00,3.637e+00,31149,5.988e+00
4,4.364e+00,5.818e+00,5.091e+00,29668,5.698e+00
5,5.818e+00,7.273e+00,6.546e+00,45811,9.107e+00
6,7.273e+00,8.728e+00,8.000e+00,61995,1.282e+01
7,8.728e+00,1.018e+01,9.455e+00,70765,1.401e+01
8,1.018e+01,1.164e+01,1.091e+01,35458,6.460e+00
9,1.164e+01,1.309e+01,1.236e+01,32896,1.336e+00
10,1.309e+01,1.455e+01,1.382e+01,4028,5.056e-01
