File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.721e+01
Avg = 9.295e+00
SD = 6.490e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.721e+00,1.360e+00,240856,2.028e+01
2,2.721e+00,5.441e+00,4.081e+00,221551,1.974e+01
3,5.441e+00,8.162e+00,6.802e+00,110447,9.591e+00
4,8.162e+00,1.088e+01,9.522e+00,93874,8.130e+00
5,1.088e+01,1.360e+01,1.224e+01,115680,1.010e+01
6,1.360e+01,1.632e+01,1.496e+01,142875,1.280e+01
7,1.632e+01,1.904e+01,1.768e+01,145977,1.252e+01
8,1.904e+01,2.177e+01,2.041e+01,57946,4.977e+00
9,2.177e+01,2.449e+01,2.313e+01,47238,1.600e+00
10,2.449e+01,2.721e+01,2.585e+01,5128,2.640e-01
