File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.414e+01
Avg = 1.783e+01
SD = 1.298e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.414e+00,2.207e+00,251350,2.276e+01
2,4.414e+00,8.828e+00,6.621e+00,141422,1.331e+01
3,8.828e+00,1.324e+01,1.104e+01,95740,8.789e+00
4,1.324e+01,1.766e+01,1.545e+01,63812,5.763e+00
5,1.766e+01,2.207e+01,1.986e+01,65538,5.980e+00
6,2.207e+01,2.649e+01,2.428e+01,103200,9.598e+00
7,2.649e+01,3.090e+01,2.869e+01,121744,1.136e+01
8,3.090e+01,3.531e+01,3.311e+01,143526,1.313e+01
9,3.531e+01,3.973e+01,3.752e+01,82236,7.487e+00
10,3.973e+01,4.414e+01,4.193e+01,44976,1.817e+00
