Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,19662.338495438697
Test_002,40.0,-51.0,15516.468243569163
Test_003,-44.0,65.0,15283.103421466823
Test_004,49.0,48.0,14685.038124618122
Test_005,-52.0,20.0,19017.402658062972
Test_006,-15.0,-74.0,20754.70106893895
Test_007,51.0,-83.0,11050.763333309067
Test_008,86.0,9.0,21473.947435573413
Test_009,-63.0,21.0,19810.341364807206
Test_010,-74.0,83.0,6475.1691437324325
Test_011,-39.0,-9.0,20453.97685275137
Test_012,-56.0,9.0,21548.379771521366
Test_013,61.0,33.0,16122.42566552643
Test_014,19.0,79.0,20603.663841197562
Test_015,35.0,60.0,15944.291849701582
Test_016,75.0,-61.0,9605.86968700014
Test_017,-30.0,66.0,17554.893196468318
Test_018,-53.0,31.0,16200.86354226923
Test_019,-79.0,29.0,18047.277970699313
Test_020,-2.0,48.0,22366.67657833105
Test_021,-49.0,-67.0,13241.473727550778
Test_022,43.0,-33.0,15881.001246662378
Test_023,62.0,-67.0,10922.264530441522
Test_024,30.0,75.0,17917.135662089717
Test_025,80.0,-80.0,5972.071636344868
Test_026,-81.0,73.0,6739.4461962730475
Test_027,54.0,-38.0,15371.954601045092
Test_028,36.0,-31.0,16320.794939680867
Test_029,52.0,-41.0,15273.761643841104
Test_030,15.0,-12.0,18261.513326122706
Test_031,-55.0,-62.0,12519.355773543584
Test_032,-19.0,-7.0,18252.393554508428
Test_033,-61.0,86.0,8663.530557652
Test_034,-43.0,-15.0,20160.04950343554
Test_035,70.0,81.0,7250.725122793007
Test_036,8.0,25.0,19258.694031637977
Test_037,-85.0,67.0,7423.061614736801
Test_038,-56.0,52.0,13779.68239296741
Test_039,64.0,42.0,15101.636430104876
Test_040,-27.0,-54.0,17635.6244604274
Test_041,-2.0,-68.0,22256.993284960623
Test_042,84.0,51.0,10880.446089157313
Test_043,79.0,-71.0,7260.875534046547
Test_044,59.0,-56.0,13010.057232788411
Test_045,-18.0,-35.0,19920.166232535616
Test_046,-76.0,-77.0,6781.751740967857
Test_047,42.0,27.0,17036.221717934684
Test_048,1.0,71.0,22383.690349189837
Test_049,-37.0,22.0,18357.4640474759
Test_050,-16.0,44.0,20756.070138869356
Test_051,28.0,57.0,17712.049589651342
Test_052,-79.0,34.0,16870.336402522025
Test_053,3.0,87.0,22248.78642704942
Test_054,-17.0,-44.0,19730.01039931261
Test_055,44.0,-49.0,15976.463339044598
Test_056,67.0,-19.0,19769.131113534422
Test_057,2.0,74.0,22340.2490678272
Test_058,82.0,19.0,20342.67136165196
Test_059,14.0,3.0,17257.710775301333
Test_060,44.0,-84.0,12937.180943069954
Test_061,0.0,-52.0,22306.408156250967
Test_062,33.0,26.0,17984.52330299771
Test_063,-75.0,38.0,16001.171126272333
Test_064,-20.0,55.0,19963.39258921645
Test_065,72.0,31.0,17401.565138733276
Test_066,75.0,72.0,7640.143350666693
