Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,11886.770094378702
Test_002,40.0,-51.0,15014.601445590937
Test_003,-44.0,65.0,14818.495606614579
Test_004,49.0,48.0,14626.856269288195
Test_005,-52.0,20.0,11938.171859591117
Test_006,-15.0,-74.0,11510.885268844146
Test_007,51.0,-83.0,10834.551879258004
Test_008,86.0,9.0,10576.494584803106
Test_009,-63.0,21.0,12167.816243717862
Test_010,-74.0,83.0,6280.820153020866
Test_011,-39.0,-9.0,9738.255454494005
Test_012,-56.0,9.0,10971.905764111485
Test_013,61.0,33.0,13424.04107522019
Test_014,19.0,79.0,11833.421279617605
Test_015,35.0,60.0,13974.597437831839
Test_016,75.0,-61.0,9501.442894818674
Test_017,-30.0,66.0,13336.704162280417
Test_018,-53.0,31.0,13360.922406442187
Test_019,-79.0,29.0,12593.32947589403
Test_020,-2.0,48.0,10463.935794780577
Test_021,-49.0,-67.0,13501.733675626685
Test_022,43.0,-33.0,13444.29741466183
Test_023,62.0,-67.0,10922.771733921438
Test_024,30.0,75.0,13028.913524858974
Test_025,80.0,-80.0,5745.339285541802
Test_026,-81.0,73.0,6539.272076580395
Test_027,54.0,-38.0,14332.984389089115
Test_028,36.0,-31.0,12624.449543416107
Test_029,52.0,-41.0,14948.477675084627
Test_030,15.0,-12.0,7027.136356537485
Test_031,-55.0,-62.0,12690.734575994238
Test_032,-19.0,-7.0,7145.057924517271
Test_033,-61.0,86.0,8388.95823415551
Test_034,-43.0,-15.0,10655.835245166563
Test_035,70.0,81.0,7072.480939128498
Test_036,8.0,25.0,8217.48899695933
Test_037,-85.0,67.0,7225.706757653612
Test_038,-56.0,52.0,13848.05032859423
Test_039,64.0,42.0,14348.977789650702
Test_040,-27.0,-54.0,12933.451277702341
Test_041,-2.0,-68.0,10940.450668733869
Test_042,84.0,51.0,10681.230349241592
Test_043,79.0,-71.0,7081.1836962998195
Test_044,59.0,-56.0,13011.076129743822
Test_045,-18.0,-35.0,10309.075459021193
Test_046,-76.0,-77.0,6583.060485609715
Test_047,42.0,27.0,12160.475160808533
Test_048,1.0,71.0,10966.69174072941
Test_049,-37.0,22.0,11052.458186203794
Test_050,-16.0,44.0,11071.394447366474
