File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.468e+01
Avg = 5.067e+00
SD = 2.951e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.468e+00,7.339e-01,425422,9.344e+00
2,1.468e+00,2.936e+00,2.202e+00,980285,2.290e+01
3,2.936e+00,4.403e+00,3.669e+00,612674,1.441e+01
4,4.403e+00,5.871e+00,5.137e+00,511613,1.190e+01
5,5.871e+00,7.339e+00,6.605e+00,599735,1.403e+01
6,7.339e+00,8.807e+00,8.073e+00,703525,1.637e+01
7,8.807e+00,1.027e+01,9.541e+00,305770,7.168e+00
8,1.027e+01,1.174e+01,1.101e+01,134467,2.983e+00
9,1.174e+01,1.321e+01,1.248e+01,52286,6.461e-01
10,1.321e+01,1.468e+01,1.394e+01,4032,2.442e-01
