Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path
6x4_001,65.0,19.0,20279.923491437014,2,6.0,4.0,6x4_curated_v1,Test_001,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_001.csv
6x4_002,40.0,-51.0,15556.61473956806,1,6.0,4.0,6x4_curated_v1,Test_002,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_002.csv
6x4_003,-44.0,65.0,15269.17077320444,1,6.0,4.0,6x4_curated_v1,Test_003,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_003.csv
6x4_004,49.0,48.0,14761.544948240946,1,6.0,4.0,6x4_curated_v1,Test_004,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_004.csv
6x4_005,-52.0,20.0,19591.464258347456,2,6.0,4.0,6x4_curated_v1,Test_005,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_005.csv
6x4_006,-15.0,-74.0,20879.436434672043,2,6.0,4.0,6x4_curated_v1,Test_006,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_006.csv
6x4_007,51.0,-83.0,11082.310852104845,1,6.0,4.0,6x4_curated_v1,Test_007,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_007.csv
6x4_008,86.0,9.0,21509.70463796609,2,6.0,4.0,6x4_curated_v1,Test_008,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_008.csv
6x4_009,-63.0,21.0,19251.815448846046,2,6.0,4.0,6x4_curated_v1,Test_009,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_009.csv
6x4_010,-74.0,83.0,6481.632761335873,1,6.0,4.0,6x4_curated_v1,Test_010,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_010.csv
6x4_011,-39.0,-9.0,20502.16122153169,2,6.0,4.0,6x4_curated_v1,Test_011,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_011.csv
6x4_012,-56.0,9.0,21551.135354916772,2,6.0,4.0,6x4_curated_v1,Test_012,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_012.csv
6x4_013,61.0,33.0,16557.71990006798,2,6.0,4.0,6x4_curated_v1,Test_013,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_013.csv
6x4_014,19.0,79.0,20720.16069294209,2,6.0,4.0,6x4_curated_v1,Test_014,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_014.csv
6x4_015,35.0,60.0,16265.619753031,2,6.0,4.0,6x4_curated_v1,Test_015,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_015.csv
6x4_016,75.0,-61.0,9627.785438115676,1,6.0,4.0,6x4_curated_v1,Test_016,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_016.csv
6x4_017,-30.0,66.0,17728.921577513524,2,6.0,4.0,6x4_curated_v1,Test_017,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_017.csv
6x4_018,-53.0,31.0,16497.2567466334,2,6.0,4.0,6x4_curated_v1,Test_018,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_018.csv
6x4_019,-79.0,29.0,18070.251752433138,2,6.0,4.0,6x4_curated_v1,Test_019,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_019.csv
6x4_020,-2.0,48.0,22366.159931756138,2,6.0,4.0,6x4_curated_v1,Test_020,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_020.csv
6x4_021,-49.0,-67.0,13319.084810233135,1,6.0,4.0,6x4_curated_v1,Test_021,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_021.csv
6x4_022,43.0,-33.0,15889.038536401165,1,6.0,4.0,6x4_curated_v1,Test_022,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_022.csv
6x4_023,62.0,-67.0,10932.381073716295,1,6.0,4.0,6x4_curated_v1,Test_023,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_023.csv
6x4_024,30.0,75.0,17977.90860553779,2,6.0,4.0,6x4_curated_v1,Test_024,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_024.csv
6x4_025,80.0,-80.0,5974.146129044565,1,6.0,4.0,6x4_curated_v1,Test_025,data/datasets/DD_cases_2_3_4_curated_v1/Case3/csv_load/force_disp_Test_025.csv
