case,test_id,label,theta1,theta2,pt,n_points,transition_index,transition_x_ratio,transition_load_ratio,post_points,post_fraction,pre_slope,post_slope_full,post_slope_early,post_slope_tail,post_slope_ratio,post_slope_drop,post_r2,post_nrmse,tail_r2,quad_a,abs_quad_a,slope_drift,mean_abs_curvature,max_abs_curvature,data_quality_code
Case3,Test_011,2,-72.0,-8.0,10880.1311718,1001,96,0.096,0.26363827928819344,885,0.8841158841158842,821254.1997867731,214131.00246634224,303736.5780556116,159831.4835844119,0.5262174368578951,0.47378256314210493,0.989393132669701,0.029131934235450137,0.9997750201011079,-0.38547490754407737,0.38547490754407737,0.6562588664994284,1.0461673719061757,8.973064066093116,0
Case3,Test_012,1,-84.0,47.0,11807.1005286,1001,394,0.394,0.6452454671363672,587,0.5864135864135864,211010.64162302905,70256.49373896232,77842.85221476141,64946.30593172322,0.834325876864612,0.165674123135388,0.999213899124151,0.008063290138756103,0.9999815241235539,-0.10718711534395266,0.10718711534395266,0.1825234586517176,0.31055404767628375,2.859100303469063,0
Case3,Test_013,1,57.0,48.0,15150.7104033,1001,754,0.754,0.8523184529934446,227,0.22677322677322678,138368.65221336196,69228.96425965818,80841.86658333609,61576.391171264535,0.7616893792004211,0.23831062079957885,0.9980610628988531,0.012674771709040368,0.9999719415082186,-0.16722442191450723,0.16722442191450723,0.27546119974889893,0.35128384841313276,0.6690981670317342,0
Case3,Test_014,1,54.0,51.0,14087.4922414,1001,762,0.762,0.888399307363726,219,0.21878121878121878,125280.56407483129,48524.87582263887,50725.119391024666,47302.593670174225,0.9325279908270453,0.06747200917295475,0.9999035781900218,0.002837942594885843,0.9999980721340087,-0.03703853082936662,0.03703853082936662,0.07018532805433879,0.1310794070308518,1.045673082445063,0
Case3,Test_015,2,17.0,33.0,10147.0146016,1001,89,0.089,0.277757305736626,892,0.8911088911088911,812226.6260068895,183323.52155274517,273542.2115548121,130698.89384813095,0.4778015543021288,0.5221984456978712,0.9858570943159995,0.03354539804837435,0.9996904067083049,-0.44287949996835735,0.44287949996835735,0.7562505721727713,1.1139182921302804,7.339172464351805,0
Case3,Test_016,1,52.0,44.0,15389.4510576,1001,675,0.675,0.8157766635456825,306,0.30569430569430567,158415.75954681134,69408.23972590968,81318.22582886319,62721.7697633112,0.7713125701403173,0.2286874298596827,0.998299685596778,0.011820936978014014,0.9999820919098864,-0.15511261666135878,0.15511261666135878,0.2647336559982942,0.35761693988064036,0.9513901938838387,0
Case3,Test_017,2,-41.0,73.0,14066.9083979,1001,378,0.378,0.5915859140455423,603,0.6023976023976024,259842.6325349362,100477.81136154098,126924.8187042974,87680.84086593041,0.6908092661546715,0.3091907338453285,0.9967730809754286,0.016113642657400423,0.9999633573636747,-0.20991347474938754,0.20991347474938754,0.38274779333332265,0.585471961135988,2.4774818387589335,0
Case3,Test_018,2,88.0,18.0,11268.6646619,1001,117,0.117,0.29517292341888685,864,0.8631368631368631,696898.171929671,195160.89060327943,264898.2203749685,150247.20824483136,0.5671884395151978,0.4328115604848022,0.9918547281360521,0.02563715898447996,0.9998159501920659,-0.3402264792832981,0.3402264792832981,0.5762624244768503,0.9340409785578208,8.241999933133911,0
Case3,Test_019,2,-28.0,-86.0,12696.7037594,1001,175,0.175,0.38209649726596717,806,0.8051948051948052,516888.62729616906,160326.5628798649,207746.3011315789,131072.59589953456,0.6309262556569802,0.3690737443430197,0.9948510997062163,0.020399943833634693,0.9998871489186607,-0.2700795398885616,0.2700795398885616,0.470041604673317,0.7760060811494482,5.776206656801492,0
Case3,Test_020,2,-15.0,-39.0,10465.3629268,1001,95,0.095,0.2814116657623996,886,0.8851148851148851,784896.262258919,186613.26175197,275775.8418414099,136618.57066015337,0.49539716658255534,0.5046028334174447,0.9874203140316036,0.03156555749257108,0.9997443649498952,-0.4158254097930211,0.4158254097930211,0.7232012555913504,1.1302808530433592,9.0000203369259,0
