File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.176e+01
Avg = 7.510e+00
SD = 5.652e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.176e+00,1.088e+00,125379,2.612e+01
2,2.176e+00,4.352e+00,3.264e+00,67372,1.466e+01
3,4.352e+00,6.529e+00,5.440e+00,38169,7.993e+00
4,6.529e+00,8.705e+00,7.617e+00,34177,7.161e+00
5,8.705e+00,1.088e+01,9.793e+00,45438,9.620e+00
6,1.088e+01,1.306e+01,1.197e+01,54762,1.188e+01
7,1.306e+01,1.523e+01,1.415e+01,63515,1.338e+01
8,1.523e+01,1.741e+01,1.632e+01,31247,6.334e+00
9,1.741e+01,1.959e+01,1.850e+01,38993,2.155e+00
10,1.959e+01,2.176e+01,2.067e+01,4032,6.941e-01
