case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case3,Test_001,65.0,19.0,7524.224038148656,2,0.7033333333333334,0.1,0.7033333333333334,0.19666666666666666,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_001.csv,data/New_Data/6x8_Case3/Original/plot_Test_001_original.png
Case3,Test_005,-52.0,20.0,7923.44227699512,2,0.725,0.07333333333333333,0.725,0.20166666666666666,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_005.csv,data/New_Data/6x8_Case3/Original/plot_Test_005_original.png
Case3,Test_006,-15.0,-74.0,7008.388160707061,2,0.7266666666666667,0.065,0.7266666666666667,0.20833333333333334,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_006.csv,data/New_Data/6x8_Case3/Original/plot_Test_006_original.png
Case3,Test_008,86.0,9.0,6278.405559330977,2,0.6316666666666667,0.09833333333333333,0.6316666666666667,0.27,high,data/New_Data/csv_6x8_Case3/force_disp_Test_008.csv,data/New_Data/6x8_Case3/Original/plot_Test_008_original.png
Case3,Test_009,-63.0,21.0,7795.507660502387,2,0.7583333333333333,0.08166666666666667,0.7583333333333333,0.16,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_009.csv,data/New_Data/6x8_Case3/Original/plot_Test_009_original.png
Case3,Test_012,-56.0,9.0,7210.366591820945,2,0.6616666666666666,0.056666666666666664,0.6616666666666666,0.2816666666666667,high,data/New_Data/csv_6x8_Case3/force_disp_Test_012.csv,data/New_Data/6x8_Case3/Original/plot_Test_012_original.png
Case3,Test_013,61.0,33.0,8807.624154653906,2,0.65,0.23833333333333334,0.65,0.11166666666666666,high,data/New_Data/csv_6x8_Case3/force_disp_Test_013.csv,data/New_Data/6x8_Case3/Original/plot_Test_013_original.png
Case3,Test_014,19.0,79.0,7084.47014887711,2,0.8216666666666667,0.06666666666666667,0.8216666666666667,0.11166666666666666,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_014.csv,data/New_Data/6x8_Case3/Original/plot_Test_014_original.png
Case3,Test_015,35.0,60.0,9054.329212065408,2,0.6183333333333333,0.27,0.6183333333333333,0.11166666666666666,high,data/New_Data/csv_6x8_Case3/force_disp_Test_015.csv,data/New_Data/6x8_Case3/Original/plot_Test_015_original.png
Case3,Test_017,-30.0,66.0,8420.446789265701,2,0.765,0.14666666666666667,0.765,0.08833333333333333,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_017.csv,data/New_Data/6x8_Case3/Original/plot_Test_017_original.png
