File= Filling_Pressure.csv
Min = 0.000e+00
Max = 6.076e+01
Avg = 2.723e+01
SD = 1.763e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,6.076e+00,3.038e+00,626494,1.575e+01
2,6.076e+00,1.215e+01,9.114e+00,465896,1.209e+01
3,1.215e+01,1.823e+01,1.519e+01,426771,1.105e+01
4,1.823e+01,2.430e+01,2.127e+01,345883,8.831e+00
5,2.430e+01,3.038e+01,2.734e+01,250214,6.266e+00
6,3.038e+01,3.646e+01,3.342e+01,378310,9.748e+00
7,3.646e+01,4.253e+01,3.949e+01,392463,1.015e+01
8,4.253e+01,4.861e+01,4.557e+01,402725,1.038e+01
9,4.861e+01,5.468e+01,5.165e+01,465068,1.179e+01
10,5.468e+01,6.076e+01,5.772e+01,161576,3.954e+00
