File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.569e+01
Avg = 1.312e+01
SD = 9.205e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.569e+00,1.784e+00,359544,2.191e+01
2,3.569e+00,7.137e+00,5.353e+00,197937,1.247e+01
3,7.137e+00,1.071e+01,8.921e+00,177646,1.119e+01
4,1.071e+01,1.427e+01,1.249e+01,139404,8.615e+00
5,1.427e+01,1.784e+01,1.606e+01,163633,1.028e+01
6,1.784e+01,2.141e+01,1.963e+01,172932,1.082e+01
7,2.141e+01,2.498e+01,2.320e+01,207894,1.283e+01
8,2.498e+01,2.855e+01,2.676e+01,136926,8.435e+00
9,2.855e+01,3.212e+01,3.033e+01,50792,2.927e+00
10,3.212e+01,3.569e+01,3.390e+01,30248,5.275e-01
