File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.962e+01
Avg = 1.496e+01
SD = 1.041e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.962e+00,1.981e+00,349126,2.126e+01
2,3.962e+00,7.923e+00,5.942e+00,192327,1.209e+01
3,7.923e+00,1.188e+01,9.904e+00,175678,1.110e+01
4,1.188e+01,1.585e+01,1.387e+01,137777,8.518e+00
5,1.585e+01,1.981e+01,1.783e+01,155919,9.772e+00
6,1.981e+01,2.377e+01,2.179e+01,172529,1.081e+01
7,2.377e+01,2.773e+01,2.575e+01,196206,1.215e+01
8,2.773e+01,3.169e+01,2.971e+01,164860,1.014e+01
9,3.169e+01,3.565e+01,3.367e+01,58358,3.509e+00
10,3.565e+01,3.962e+01,3.763e+01,34176,6.507e-01
