File = source:G27_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 10 : G27_P10 (MPa)
0.00180077,0.000381578
0.00430009,0.000510528
0.00691595,0.000189143
0.00946696,0.016563
0.012724,0.0258174
0.0159277,0.583672
0.0187173,1.01638
0.0203061,1.2177
0.0214478,1.2235
0.0225811,1.26043
0.0237247,1.2976
0.0249149,1.32611
0.0261005,1.36588
0.0275387,1.39541
0.0291519,1.47097
0.0310503,1.55118
0.0332579,1.64041
0.0359204,1.71605
0.0389875,1.79799
0.0420765,1.87555
0.0455611,1.95809
0.0492035,2.04041
0.0533963,2.13048
0.0582951,2.2283
0.0631794,2.3147
0.0682363,2.40257
0.074075,2.49188
0.079936,2.58172
0.0859819,2.66708
0.0929967,2.75948
0.0999586,2.85108
0.107036,2.93908
0.115252,3.03601
0.123371,3.12757
0.131704,3.22153
0.140075,3.30821
0.148478,3.39235
0.158326,3.48828
0.168149,3.58369
0.178122,3.67727
0.188009,3.76514
0.199602,3.87038
0.211247,3.99477
0.222719,4.10586
0.234481,4.22616
0.246452,4.3657
0.258393,4.52607
0.27043,4.69611
0.284278,4.88276
0.298114,5.10067
0.311819,5.3104
0.325068,5.51346
0.336904,5.78883
0.348872,5.99971
0.36056,6.2186
0.372215,6.43822
0.383653,6.65604
0.395245,6.86633
0.406698,7.08001
0.418021,7.29224
0.429494,7.49979
0.441047,7.71305
0.452506,7.9194
0.464196,8.13133
0.475471,8.33875
0.486482,8.5383
0.497708,8.72833
0.509286,8.93267
0.520975,9.14301
0.532476,9.35104
0.544015,9.55739
0.555513,9.76897
0.566334,10.0068
0.576242,10.2481
0.585767,10.4726
0.594056,10.6821
0.602346,10.8782
0.610591,11.0902
0.618729,11.3015
0.626759,11.5072
0.635033,11.7331
0.642362,11.9536
0.649375,12.1417
0.656514,12.3425
0.663695,12.5538
0.670821,12.7654
0.677893,12.9819
0.685058,13.1944
0.692175,13.4158
0.699267,13.629
0.706407,13.8454
0.713492,14.0689
0.720406,14.2783
0.727602,14.4936
0.734844,14.72
0.742128,14.9347
0.749585,15.1609
0.757274,15.3834
0.764848,15.6164
0.772496,15.8495
0.780006,16.0802
0.787676,16.3007
0.795627,16.5184
0.803571,16.7593
0.811822,16.9933
0.820217,17.2482
0.828444,17.4953
0.836434,17.7248
0.844936,17.966
0.853318,18.221
0.861633,18.4666
0.870183,18.7127
0.878698,18.9625
0.887455,19.2106
0.896102,19.4642
0.90502,19.7152
0.915065,19.983
0.925272,20.278
0.935379,20.5654
0.945669,20.8421
0.955774,21.1254
0.965614,21.3862
0.975459,21.6644
0.985536,21.9536
0.995256,22.2206
1.00524,22.5026
1.01488,22.7762
1.02456,23.0263
1.03443,23.2877
1.04426,23.5615
1.05398,23.8121
1.0639,24.0673
1.07381,24.3275
1.0838,24.5839
1.09364,24.8385
1.10355,25.0883
1.11336,25.3397
1.12314,25.5831
1.13304,25.8296
1.14285,26.0739
1.15276,26.3266
1.16249,26.5635
1.17233,26.8053
1.18244,27.0533
1.1924,27.3066
1.20225,27.5567
1.21227,27.8042
1.22207,28.0531
1.23208,28.3041
1.24209,28.5547
1.25219,28.8103
1.26217,29.0621
1.27224,29.3156
1.28246,29.5725
1.29247,29.8296
1.30273,30.0949
1.3129,30.3887
1.32279,30.6117
1.32668,30.8984
1.33795,35.7776
1.34996,40.3933
1.34996,40.3933
1.36026,43.8754
1.37087,47.0925
1.3818,50.0546
1.39305,52.7722
1.40465,55.2563
1.41659,57.5183
1.42888,59.5699
1.44155,61.4232
1.4546,63.0903
1.46804,64.5833
1.48188,65.9145
1.49614,67.0958
1.51083,68.1391
1.52595,69.0559
1.54153,69.8573
1.55758,70.5542
1.57411,71.1568
1.59113,71.6749
1.60867,72.1176
1.62883,72.5376
1.65202,72.9231
1.67869,73.2636
1.70936,73.5508
1.74463,73.7798
1.78519,73.9502
1.83183,74.0667
1.88547,74.1382
1.94448,74.1747
2.00938,74.1911
2.08078,74.1975
2.15931,74.1995
2.2457,74.1999
2.34072,74.2
2.44525,74.2
2.56024,74.2
2.68672,74.2
2.82585,74.2
2.97889,74.2
3.14723,74.2
3.33241,74.2
3.53611,74.2
3.74185,74.2
3.94964,74.2
4.04168,74.2
4.14293,74.2
4.15794,64.2
4.17351,54.2
4.19142,44.4913
4.21202,35.3262
4.23571,26.9576
4.26296,19.6135
4.29429,13.4687
4.33032,8.61605
4.37175,5.04613
4.4194,2.64173
4.47419,1.19418
4.53447,0.474386
4.60077,0.159856
4.6737,0.0432683
4.75393,0.00855578
4.9638,1e-06
5.17577,1e-06
5.38986,1e-06
5.60609,1e-06
5.82448,1e-06
6.04506,1e-06
6.26784,1e-06
6.49285,1e-06
6.72011,1e-06
6.94964,1e-06
7.18147,1e-06
7.41562,1e-06
7.6521,1e-06
7.89095,1e-06
8.1322,1e-06
8.37585,1e-06
8.62194,1e-06
8.87049,1e-06
9.12153,1e-06
9.37507,1e-06
9.63115,1e-06
9.8898,1e-06
10.151,1e-06
10.4149,1e-06
10.6813,1e-06
10.9505,1e-06
11.2223,1e-06
11.4969,1e-06
11.7742,1e-06
12.0543,1e-06
12.3371,1e-06
12.6228,1e-06
12.9114,1e-06
13.2028,1e-06
13.4972,1e-06
13.7945,1e-06
14.0948,1e-06
14.3981,1e-06
14.7044,1e-06
15.0137,1e-06
15.3262,1e-06
15.6418,1e-06
15.9606,1e-06
16.2825,1e-06
16.6077,1e-06
16.9361,1e-06
17.2677,1e-06
17.6028,1e-06
17.9411,1e-06
18.2829,1e-06
18.628,1e-06
18.6417,1e-06
18.6574,1e-06
