File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\V02\v02FAM_G03\P03\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 13 : V02FAM_G03_P03 (MPa),
1.29941,47.4372,
1.30431,47.6592,
1.30922,47.8786,
1.31412,48.1006,
1.31899,48.3222,
1.32384,48.5449,
1.32875,48.7652,
1.33367,48.9903,
1.33854,49.2173,
1.34338,49.439,
1.34822,49.6612,
1.35312,49.8825,
1.35799,50.1102,
1.36285,50.3392,
1.36769,50.5655,
1.37255,50.7911,
1.37744,51.0177,
1.38231,51.2488,
1.38716,51.4783,
1.39197,51.7079,
1.3968,51.9378,
1.40166,52.1668,
1.40653,52.3995,
1.41139,52.6306,
1.41621,52.8659,
1.42102,53.1014,
1.42588,53.3382,
1.43077,53.578,
1.43561,53.8236,
1.44043,54.0683,
1.44525,54.312,
1.45014,54.558,
1.45504,54.8113,
1.45992,55.0647,
1.46475,55.3185,
1.46955,55.5704,
1.47437,55.8231,
1.47927,56.0775,
1.48419,56.3368,
1.48907,56.5997,
1.4939,56.8575,
1.49871,57.1135,
1.50363,57.3677,
1.50853,57.6301,
1.5134,57.8901,
1.51822,58.1511,
1.52303,58.4095,
1.52794,58.6644,
1.53287,58.9279,
1.53673,59.1374,
1.53838,59.2908,
1.54317,60.9773,
1.54841,62.7339,
1.55388,64.4733,
1.55945,66.1455,
1.56458,67.6001,
1.56785,68.4798,
1.56785,68.4798,
1.57199,69.5558,
1.57637,70.6492,
1.58102,71.7574,
1.58594,72.8775,
1.59116,74.0063,
1.5967,75.1404,
1.60257,76.276,
1.60878,77.4092,
1.61519,78.5038,
1.62178,79.559,
1.62858,80.5741,
1.63558,81.5487,
1.64278,82.4823,
1.65021,83.3745,
1.65786,84.2253,
1.66573,85.0346,
1.67385,85.8025,
1.6822,86.5293,
1.69081,87.2153,
1.69967,87.8611,
1.7088,88.4674,
1.71821,89.0347,
1.7279,89.5642,
1.73788,90.0567,
1.74815,90.5133,
1.75874,90.9353,
1.76964,91.324,
1.78087,91.6807,
1.79244,92.0068,
1.80435,92.3038,
1.81662,92.5733,
1.82926,92.8168,
1.84228,93.036,
1.85569,93.2323,
1.8695,93.4074,
1.88373,93.5628,
1.89838,93.7001,
1.91348,93.8209,
1.92902,93.9264,
1.94503,94.0183,
1.96152,94.0977,
1.97851,94.1661,
1.99601,94.2245,
2.01403,94.2741,
2.03259,94.3161,
2.05171,94.3512,
2.07369,94.3839,
2.09898,94.4133,
2.12806,94.4385,
2.16149,94.4591,
2.19995,94.4748,
2.24417,94.4859,
2.29503,94.4931,
2.35097,94.497,
2.4125,94.4988,
2.4802,94.4996,
2.55465,94.4999,
2.63656,94.5,
2.72665,94.5,
2.82575,94.5,
2.93477,94.5,
3.05469,94.5,
3.18659,94.5,
3.33169,94.5,
3.4913,94.5,
3.66687,94.5,
3.85999,94.5,
4.07243,94.5,
4.28699,94.5,
4.5037,94.5,
4.72258,94.5,
4.94364,94.5,
5.16691,94.5,
5.39242,94.5,
5.62018,94.5,
5.85022,94.5,
6.08256,94.5,
6.31723,94.5,
6.55424,94.5,
6.59838,94.5,
6.64914,94.5,
6.65972,84.5,
6.67156,74.5,
6.68498,64.5,
6.70042,54.5436,
6.71817,44.8612,
6.73858,35.7031,
6.76206,27.3212,
6.78906,19.945,
6.8201,13.7525,
6.85581,8.84218,
6.89687,5.21152,
6.94409,2.75065,
6.99839,1.25697,
7.05813,0.506143,
7.12383,0.173575,
7.19611,0.0481202,
7.27561,0.00986236,
7.51499,1e-06,
7.75677,1e-06,
8.00096,1e-06,
8.24759,1e-06,
8.49669,1e-06,
8.74829,1e-06,
9.00239,1e-06,
9.25904,1e-06,
9.51826,1e-06,
9.78006,1e-06,
10.0445,1e-06,
10.3116,1e-06,
10.5813,1e-06,
10.8537,1e-06,
11.1289,1e-06,
11.4068,1e-06,
11.6875,1e-06,
11.971,1e-06,
12.2573,1e-06,
12.5465,1e-06,
12.8386,1e-06,
13.1336,1e-06,
13.4316,1e-06,
13.7325,1e-06,
14.0365,1e-06,
14.3435,1e-06,
14.6535,1e-06,
14.9667,1e-06,
15.283,1e-06,
15.6024,1e-06,
15.9251,1e-06,
16.251,1e-06,
16.5801,1e-06,
16.9125,1e-06,
17.2483,1e-06,
17.5874,1e-06,
17.9299,1e-06,
18.2758,1e-06,
18.4984,1e-06,
18.7232,1e-06,
