File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.160e+01
Avg = 2.201e+01
SD = 1.534e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.160e+00,2.580e+00,129110,1.810e+01
2,5.160e+00,1.032e+01,7.740e+00,106197,1.581e+01
3,1.032e+01,1.548e+01,1.290e+01,70371,1.029e+01
4,1.548e+01,2.064e+01,1.806e+01,41196,5.956e+00
5,2.064e+01,2.580e+01,2.322e+01,40348,5.780e+00
6,2.580e+01,3.096e+01,2.838e+01,54429,7.868e+00
7,3.096e+01,3.612e+01,3.354e+01,72645,1.066e+01
8,3.612e+01,4.128e+01,3.870e+01,80338,1.161e+01
9,4.128e+01,4.644e+01,4.386e+01,69337,1.013e+01
10,4.644e+01,5.160e+01,4.902e+01,55437,3.791e+00
