File = source:G15_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 10 : G15_P10 (MPa)
0.00159165,7.29299e-05
0.0040717,0.00405269
0.00659132,0.00501116
0.00895268,0.0388935
0.0113265,0.255359
0.0136602,0.768435
0.01579,1.49646
0.016419,1.34151
0.0170378,1.29304
0.0176843,1.35168
0.0184715,1.37438
0.019245,1.43025
0.020192,1.44738
0.0212622,1.54882
0.0225595,1.57956
0.0239921,1.68526
0.0257836,1.7783
0.0278134,1.8733
0.0298503,1.95871
0.0321992,2.0455
0.0349549,2.14175
0.0376809,2.23212
0.040886,2.32608
0.0440788,2.42268
0.0478662,2.51579
0.05168,2.60833
0.056128,2.70711
0.0606086,2.80108
0.0652332,2.88406
0.0705346,2.9802
0.0759014,3.07409
0.0813292,3.16067
0.0867785,3.24384
0.0931993,3.33937
0.0996146,3.42955
0.10605,3.51786
0.112517,3.60445
0.119125,3.68776
0.126745,3.77976
0.134331,3.87364
0.142115,3.96602
0.149831,4.05181
0.157612,4.13843
0.166726,4.23329
0.17578,4.33317
0.184943,4.42876
0.19408,4.51892
0.203321,4.61344
0.212721,4.70508
0.223513,4.80693
0.234385,4.92222
0.245192,5.0396
0.25598,5.19037
0.267166,5.36432
0.277959,5.54437
0.288802,5.72675
0.301293,5.92337
0.313569,6.14239
0.325451,6.38022
0.336009,6.67157
0.347037,6.89319
0.357418,7.11869
0.367974,7.34749
0.378488,7.57403
0.388895,7.79951
0.399402,8.02825
0.40993,8.2514
0.420454,8.47465
0.431011,8.70638
0.441156,8.92517
0.45139,9.13613
0.461636,9.34902
0.471699,9.56223
0.481859,9.76961
0.491991,9.97783
0.502131,10.1852
0.512376,10.3964
0.522614,10.605
0.532827,10.8166
0.54294,11.027
0.552956,11.2346
0.562474,11.4838
0.571396,11.7247
0.579102,11.9377
0.586546,12.1393
0.594109,12.3487
0.601523,12.5638
0.608022,12.7668
0.614495,12.9514
0.620851,13.1508
0.627238,13.3508
0.633499,13.557
0.639723,13.7623
0.646109,13.9634
0.652511,14.1917
0.658582,14.4041
0.664663,14.6034
0.671008,14.8349
0.677163,15.0645
0.683305,15.2788
0.689465,15.4898
0.695744,15.7185
0.702151,15.9536
0.70832,16.177
0.714686,16.4065
0.720917,16.6409
0.727191,16.8617
0.733653,17.0891
0.740058,17.3145
0.746493,17.5409
0.75303,17.7557
0.759867,17.986
0.766739,18.2307
0.773441,18.4589
0.780243,18.6778
0.787281,18.9189
0.794186,19.1525
0.80118,19.3857
0.808345,19.6182
0.81564,19.8554
0.822987,20.0976
0.830333,20.3393
0.837704,20.5865
0.845287,20.8278
0.852991,21.0824
0.860612,21.3392
0.868333,21.5889
0.876259,21.8481
0.883981,22.1134
0.891996,22.3664
0.899922,22.6371
0.90808,22.8973
0.916143,23.1682
0.924402,23.4292
0.933623,23.711
0.943047,24.0207
0.952491,24.3244
0.961605,24.6209
0.970511,24.9194
0.979332,25.2123
0.98814,25.5003
0.996926,25.7862
1.00573,26.0733
1.01447,26.3562
1.02341,26.6398
1.03218,26.9227
1.04102,27.1988
1.04979,27.473
1.05857,27.742
1.06735,28.0107
1.0761,28.2769
1.08497,28.543
1.09357,28.8048
1.10238,29.0618
1.11112,29.3209
1.11993,29.5766
1.12874,29.8313
1.1375,30.0837
1.14638,30.3353
1.15506,30.588
1.16387,30.8336
1.17265,31.08
1.1815,31.3273
1.19027,31.5722
1.19903,31.8193
1.20794,32.0605
1.21666,32.3067
1.22551,32.5527
1.23421,32.7934
1.24319,33.0397
1.25197,33.2875
1.26091,33.5333
1.26972,33.7792
1.27871,34.0299
1.28779,34.2805
1.29685,34.5377
1.30585,34.7887
1.31472,35.0405
1.32357,35.2849
1.32672,35.473
1.33701,39.4575
1.34921,43.6942
1.34921,43.6942
1.35951,46.8363
1.37012,49.7393
1.38104,52.4122
1.3923,54.8644
1.40389,57.106
1.41583,59.1471
1.42813,60.9984
1.4408,62.6707
1.45385,64.175
1.46729,65.5223
1.48113,66.7235
1.49539,67.7895
1.51007,68.7309
1.5252,69.5581
1.54078,70.2813
1.55682,70.9102
1.57335,71.4539
1.59038,71.9214
1.60791,72.321
1.62808,72.6999
1.65127,73.0478
1.67794,73.355
1.70861,73.6142
1.74387,73.8208
1.78443,73.9746
1.83108,74.0797
1.88472,74.1442
1.94372,74.1771
2.00863,74.192
2.08002,74.1977
2.15856,74.1995
2.24494,74.1999
2.33997,74.2
2.4445,74.2
2.55948,74.2
2.68596,74.2
2.82509,74.2
2.97813,74.2
3.14648,74.2
3.33166,74.2
3.53536,74.2
3.74109,74.2
3.94889,74.2
4.04172,74.2
4.05549,64.2
4.07106,54.2
4.08898,44.4913
4.10958,35.3262
4.13327,26.9576
4.16051,19.6135
4.19184,13.4687
4.22787,8.61605
4.2693,5.04613
4.31695,2.64173
4.37175,1.19418
4.43202,0.474386
4.49832,0.159856
4.57126,0.0432683
4.65148,0.00855578
4.86135,1e-06
5.07332,1e-06
5.28741,1e-06
5.50364,1e-06
5.72203,1e-06
5.94261,1e-06
6.16539,1e-06
6.3904,1e-06
6.61766,1e-06
6.84719,1e-06
7.07902,1e-06
7.31317,1e-06
7.54965,1e-06
7.78851,1e-06
8.02975,1e-06
8.2734,1e-06
8.51949,1e-06
8.76804,1e-06
9.01908,1e-06
9.27262,1e-06
9.52871,1e-06
9.78735,1e-06
10.0486,1e-06
10.3124,1e-06
10.5789,1e-06
10.8481,1e-06
11.1199,1e-06
11.3944,1e-06
11.6717,1e-06
11.9518,1e-06
12.2347,1e-06
12.5204,1e-06
12.809,1e-06
13.1004,1e-06
13.3947,1e-06
13.692,1e-06
13.9923,1e-06
14.2956,1e-06
14.6019,1e-06
14.9113,1e-06
15.2238,1e-06
15.5394,1e-06
15.8581,1e-06
16.18,1e-06
16.5052,1e-06
16.8336,1e-06
17.1653,1e-06
17.5003,1e-06
17.8387,1e-06
18.1804,1e-06
18.5256,1e-06
18.6417,1e-06
18.7695,1e-06
