File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.074e+01
Avg = 2.193e+01
SD = 1.504e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.074e+00,2.537e+00,652716,1.870e+01
2,5.074e+00,1.015e+01,7.611e+00,381914,1.141e+01
3,1.015e+01,1.522e+01,1.269e+01,362651,1.092e+01
4,1.522e+01,2.030e+01,1.776e+01,268000,7.650e+00
5,2.030e+01,2.537e+01,2.283e+01,220235,6.159e+00
6,2.537e+01,3.045e+01,2.791e+01,338558,1.006e+01
7,3.045e+01,3.552e+01,3.298e+01,341512,1.017e+01
8,3.552e+01,4.059e+01,3.806e+01,356622,1.039e+01
9,4.059e+01,4.567e+01,4.313e+01,372812,1.099e+01
10,4.567e+01,5.074e+01,4.821e+01,123248,3.548e+00
