case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case4,Test_105,89.0,-77.0,3788.9218588223316,1,0.63,0.63,0.32166666666666666,0.04833333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_105.csv,data/New_Data/6x8_Case4/Original/plot_Test_105_original.png
Case4,Test_118,54.0,-88.0,7396.543953430085,1,0.7866666666666666,0.7866666666666666,0.20833333333333334,0.005,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_118.csv,data/New_Data/6x8_Case4/Original/plot_Test_118_original.png
Case4,Test_127,-66.0,77.0,5823.231516011065,1,0.8416666666666667,0.8416666666666667,0.15833333333333333,0.0,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_127.csv,data/New_Data/6x8_Case4/Original/plot_Test_127_original.png
Case4,Test_128,59.0,-70.0,7537.689137484869,1,0.84,0.84,0.16,0.0,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_128.csv,data/New_Data/6x8_Case4/Original/plot_Test_128_original.png
Case4,Test_137,68.0,53.0,9689.06781898347,1,0.8616666666666667,0.8616666666666667,0.13833333333333334,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_137.csv,data/New_Data/6x8_Case4/Original/plot_Test_137_original.png
Case4,Test_148,46.0,-62.0,9783.622353743329,1,0.5133333333333333,0.5133333333333333,0.47833333333333333,0.008333333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_148.csv,data/New_Data/6x8_Case4/Original/plot_Test_148_original.png
Case4,Test_151,-66.0,-82.0,5337.450907776226,1,0.67,0.67,0.3233333333333333,0.006666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_151.csv,data/New_Data/6x8_Case4/Original/plot_Test_151_original.png
Case4,Test_153,50.0,-62.0,10093.466280529354,1,0.8966666666666666,0.8966666666666666,0.10166666666666667,0.0016666666666666668,low,data/New_Data/csv_6x8_Case4/force_disp_Test_153.csv,data/New_Data/6x8_Case4/Original/plot_Test_153_original.png
Case4,Test_154,-65.0,-65.0,7049.5342982797365,1,0.8266666666666667,0.8266666666666667,0.17333333333333334,0.0,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_154.csv,data/New_Data/6x8_Case4/Original/plot_Test_154_original.png
Case4,Test_156,70.0,-86.0,4611.594982181081,1,0.7233333333333334,0.7233333333333334,0.25833333333333336,0.018333333333333333,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_156.csv,data/New_Data/6x8_Case4/Original/plot_Test_156_original.png
