File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.502e+01
Avg = 1.441e+01
SD = 9.968e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.502e+00,1.751e+00,128384,1.954e+01
2,3.502e+00,7.005e+00,5.253e+00,79808,1.266e+01
3,7.005e+00,1.051e+01,8.756e+00,66130,1.058e+01
4,1.051e+01,1.401e+01,1.226e+01,51547,7.700e+00
5,1.401e+01,1.751e+01,1.576e+01,54553,8.355e+00
6,1.751e+01,2.101e+01,1.926e+01,61302,9.698e+00
7,2.101e+01,2.452e+01,2.276e+01,61050,9.657e+00
8,2.452e+01,2.802e+01,2.627e+01,62631,9.845e+00
9,2.802e+01,3.152e+01,2.977e+01,69937,1.038e+01
10,3.152e+01,3.502e+01,3.327e+01,39894,1.586e+00
