File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.164e+01
Avg = 7.713e+00
SD = 5.289e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.164e+00,1.082e+00,192750,2.047e+01
2,2.164e+00,4.328e+00,3.246e+00,157500,1.768e+01
3,4.328e+00,6.492e+00,5.410e+00,85480,9.284e+00
4,6.492e+00,8.656e+00,7.574e+00,73674,7.883e+00
5,8.656e+00,1.082e+01,9.738e+00,89064,9.641e+00
6,1.082e+01,1.298e+01,1.190e+01,114121,1.278e+01
7,1.298e+01,1.515e+01,1.407e+01,130017,1.413e+01
8,1.515e+01,1.731e+01,1.623e+01,54996,5.980e+00
9,1.731e+01,1.948e+01,1.839e+01,47598,1.818e+00
10,1.948e+01,2.164e+01,2.056e+01,4944,3.321e-01
