File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.038e+01
Avg = 1.600e+01
SD = 1.114e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.038e+00,2.019e+00,241896,2.050e+01
2,4.038e+00,8.075e+00,6.057e+00,138023,1.196e+01
3,8.075e+00,1.211e+01,1.009e+01,129044,1.113e+01
4,1.211e+01,1.615e+01,1.413e+01,89581,7.590e+00
5,1.615e+01,2.019e+01,1.817e+01,97466,8.288e+00
6,2.019e+01,2.423e+01,2.221e+01,124642,1.081e+01
7,2.423e+01,2.826e+01,2.625e+01,124956,1.079e+01
8,2.826e+01,3.230e+01,3.028e+01,143084,1.223e+01
9,3.230e+01,3.634e+01,3.432e+01,66140,5.578e+00
10,3.634e+01,4.038e+01,3.836e+01,41112,1.117e+00
