File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.485e+01
Avg = 9.577e+00
SD = 5.889e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.485e+00,1.243e+00,58382,8.268e+00
2,2.485e+00,4.971e+00,3.728e+00,174680,2.577e+01
3,4.971e+00,7.456e+00,6.214e+00,72558,1.068e+01
4,7.456e+00,9.942e+00,8.699e+00,54870,8.011e+00
5,9.942e+00,1.243e+01,1.118e+01,59417,8.686e+00
6,1.243e+01,1.491e+01,1.367e+01,86278,1.286e+01
7,1.491e+01,1.740e+01,1.616e+01,109978,1.619e+01
8,1.740e+01,1.988e+01,1.864e+01,48591,7.037e+00
9,1.988e+01,2.237e+01,2.113e+01,44318,2.115e+00
10,2.237e+01,2.485e+01,2.361e+01,4136,3.725e-01
