File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.126e+01
Avg = 2.275e+01
SD = 1.506e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.127e+00,2.563e+00,597300,1.704e+01
2,5.127e+00,1.025e+01,7.690e+00,391280,1.171e+01
3,1.025e+01,1.538e+01,1.282e+01,360838,1.085e+01
4,1.538e+01,2.051e+01,1.794e+01,289963,8.361e+00
5,2.051e+01,2.563e+01,2.307e+01,214681,5.993e+00
6,2.563e+01,3.076e+01,2.820e+01,330324,9.775e+00
7,3.076e+01,3.589e+01,3.332e+01,344826,1.028e+01
8,3.589e+01,4.101e+01,3.845e+01,361627,1.056e+01
9,4.101e+01,4.614e+01,4.358e+01,389161,1.145e+01
10,4.614e+01,5.126e+01,4.870e+01,138268,3.978e+00
