File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G06_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 6 : G06_P01 (MPa),Time (sec),Run 56 : G06_P02 (MPa),Time (sec),Run 57 : G06_P03 (MPa),Time (sec),Run 58 : G06_P04 (MPa),Time (sec),Run 59 : G06_P05 (MPa),Time (sec),Run 60 : G06_P06 (MPa),Time (sec),Run 61 : G06_P07 (MPa),Time (sec),Run 62 : G06_P08 (MPa),Time (sec),Run 63 : G06_P09 (MPa),Time (sec),Run 64 : G06_P10 (MPa),
0.00242996,0.000730067,0.00120121,0.00167883,0.000617819,0.002464,0.0015229,0.0015573,0.00206202,0.00102272,0.00104675,0.00224376,0.00216138,0.000944166,0.000705376,0.00274314,0.00186821,0.00103795,0.00132221,0.00167394,
0.00614532,0.000726136,0.00328776,0.00079282,0.00175195,4.26576e-05,0.00410136,0.000473304,0.00530252,5.7733e-05,0.0028929,0.00114258,0.00553283,2.51122e-05,0.00198909,5.67488e-05,0.00493994,0.000180379,0.00359618,0.000693355,
0.00947397,0.00518184,0.00529438,0.00767445,0.00293045,1.3743e-06,0.00650692,0.0280275,0.00828747,0.00620302,0.00470594,5.95773e-05,0.00861433,0.00591078,0.00330919,0.00120799,0.00770946,0.00522179,0.00575893,0.0144524,
0.0127792,0.387195,0.00726606,0.0885264,0.00408805,0.00395204,0.00911071,0.201223,0.0113392,0.264739,0.00632034,0.110897,0.0117371,0.256805,0.00460292,0.00699119,0.0105849,0.249578,0.00810539,0.11373,
0.0153436,0.667237,0.00898921,0.617124,0.00538394,0.116369,0.0115021,0.968203,0.0138948,0.800826,0.00815796,0.709694,0.0143431,0.763173,0.00596307,0.364694,0.0130299,0.703638,0.00993221,0.664512,
0.0176958,1.31473,0.0106921,1.05688,0.00664619,1.09942,0.013463,1.81658,0.0162223,1.61298,0.00961199,1.17227,0.016531,1.48122,0.00737795,1.41054,0.015237,1.3658,0.0116185,1.2606,
0.0190501,1.25544,0.0119554,1.69927,0.00764455,1.78188,0.0142852,1.66018,0.017177,1.43377,0.010874,2.19686,0.0177263,1.40464,0.00863968,2.46409,0.0162446,1.24879,0.0131212,1.80566,
0.0205837,1.19395,0.0126583,1.52133,0.00841714,1.94858,0.0152306,1.58789,0.018222,1.37652,0.0114571,1.88395,0.0190884,1.32836,0.00910413,2.12437,0.0173935,1.17841,0.0141205,1.60738,
0.0221917,1.20016,0.0134282,1.45479,0.00909777,1.92104,0.0162026,1.59604,0.0192983,1.39351,0.0120936,1.80004,0.0205362,1.34208,0.00961942,2.01945,0.0186024,1.20045,0.0151361,1.54882,
0.0237809,1.20645,0.0142072,1.45587,0.00978909,1.85041,0.017202,1.59843,0.0204072,1.3923,0.0127367,1.82063,0.0219804,1.34408,0.0101432,2.04502,0.0198127,1.18406,0.0161642,1.54731,
0.0253285,1.20683,0.0151261,1.46814,0.0104568,1.85982,0.0183578,1.58042,0.0217017,1.38862,0.0135276,1.83183,0.0233737,1.33919,0.0106816,2.04246,0.0211728,1.20122,0.0171402,1.53462,
0.0270297,1.24162,0.0160041,1.47822,0.0110882,1.87936,0.0196116,1.63872,0.023152,1.4088,0.0144407,1.84689,0.0249081,1.37889,0.0113042,2.05991,0.0224307,1.23334,0.0182174,1.59094,
0.0290622,1.2613,0.0169753,1.50941,0.01182,1.95147,0.0210346,1.67719,0.0247511,1.45555,0.0152876,1.86577,0.0266967,1.40528,0.011991,2.09318,0.0239176,1.25796,0.0195029,1.62928,
0.0315014,1.28699,0.018115,1.56106,0.0127105,2.01651,0.0227488,1.72486,0.0266222,1.48353,0.0162485,1.9106,0.0288312,1.43552,0.0127641,2.1548,0.02569,1.2836,0.0210672,1.6727,
