File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.448e+01
Avg = 2.321e+01
SD = 1.525e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.448e+00,2.724e+00,139792,1.532e+01
2,5.448e+00,1.090e+01,8.173e+00,124025,1.431e+01
3,1.090e+01,1.635e+01,1.362e+01,105749,1.229e+01
4,1.635e+01,2.179e+01,1.907e+01,73811,8.296e+00
5,2.179e+01,2.724e+01,2.452e+01,67668,7.617e+00
6,2.724e+01,3.269e+01,2.997e+01,81675,9.408e+00
7,3.269e+01,3.814e+01,3.541e+01,87452,9.797e+00
8,3.814e+01,4.359e+01,4.086e+01,98078,1.120e+01
9,4.359e+01,4.904e+01,4.631e+01,75190,8.676e+00
10,4.904e+01,5.448e+01,5.176e+01,48832,3.083e+00
