File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.816e+01
Avg = 1.062e+01
SD = 7.547e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.816e+00,1.408e+00,209671,2.268e+01
2,2.816e+00,5.631e+00,4.223e+00,125207,1.415e+01
3,5.631e+00,8.446e+00,7.039e+00,79663,8.804e+00
4,8.446e+00,1.126e+01,9.854e+00,63431,6.984e+00
5,1.126e+01,1.408e+01,1.267e+01,71254,7.857e+00
6,1.408e+01,1.689e+01,1.549e+01,103230,1.151e+01
7,1.689e+01,1.971e+01,1.830e+01,129086,1.439e+01
8,1.971e+01,2.252e+01,2.112e+01,85964,9.390e+00
9,2.252e+01,2.534e+01,2.393e+01,40045,3.424e+00
10,2.534e+01,2.816e+01,2.675e+01,24433,8.035e-01
