File = D:\Moldex3D\02. AI\Surrogate model - 2\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 33 : V03FAM_G03_P03 (MPa),
0.000837847,0.00150092,
0.0023104,0.000209568,
0.00393987,0.00864374,
0.00545108,0.103036,
0.00702719,0.59275,
0.00836489,1.03673,
0.00944196,1.88221,
0.00992199,1.57996,
0.0104128,1.51185,
0.0109407,1.53251,
0.0114854,1.53028,
0.0121356,1.5528,
0.0128789,1.56854,
0.0135608,1.58319,
0.0143051,1.63168,
0.0151765,1.69026,
0.0162497,1.75432,
0.0173425,1.79107,
0.018456,1.8233,
0.0195838,1.85059,
0.0209185,1.88973,
0.0222587,1.92051,
0.0236033,1.94767,
0.0251867,1.98467,
0.0267676,2.0152,
0.0286236,2.05426,
0.0304827,2.05393,
0.0323093,2.08773,
0.0341361,2.11801,
0.0362716,2.14875,
0.0384001,2.17826,
0.0405393,2.20418,
0.0426931,2.22816,
0.044851,2.25007,
0.0473949,2.27475,
0.0499309,2.29861,
0.0524852,2.32925,
0.055107,2.3384,
0.0577035,2.35907,
0.0607243,2.38241,
0.063731,2.41283,
0.0668299,2.4238,
0.0698394,2.44855,
0.0728983,2.46851,
0.076418,2.49378,
0.0799863,2.51422,
0.0835775,2.53461,
0.0871816,2.55381,
0.0908087,2.57249,
0.0944543,2.59036,
0.0981131,2.60813,
0.101794,2.62582,
0.106111,2.6459,
0.110419,2.66589,
0.11475,2.68871,
0.119207,2.70124,
0.123599,2.72003,
0.127973,2.73869,
0.132266,2.75998,
0.136553,2.77888,
0.141565,2.79962,
0.146575,2.81997,
0.151875,2.83204,
0.156987,2.85263,
0.162302,2.86632,
0.167439,2.88789,
0.172541,2.90497,
0.177893,2.91916,
0.18308,2.93902,
0.189043,2.95662,
0.195112,2.97529,
0.201191,2.99528,
0.207455,3.00815,
0.213595,3.02661,
0.219707,3.04465,
0.225834,3.06204,
0.231973,3.07892,
0.238066,3.09526,
0.244006,3.11989,
0.250042,3.14307,
0.256129,3.16286,
0.26224,3.18269,
0.268384,3.20191,
0.274567,3.22504,
0.281433,3.24735,
0.288352,3.27228,
0.2955,3.28857,
0.30248,3.31112,
0.30942,3.33298,
0.316375,3.35357,
0.323335,3.37857,
0.330171,3.39533,
0.337203,3.4125,
0.344099,3.43028,
