File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.267e+01
Avg = 7.192e+00
SD = 4.676e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.267e+00,1.134e+00,226338,1.767e+01
2,2.267e+00,4.535e+00,3.401e+00,230384,1.906e+01
3,4.535e+00,6.802e+00,5.668e+00,186394,1.506e+01
4,6.802e+00,9.069e+00,7.936e+00,154274,1.233e+01
5,9.069e+00,1.134e+01,1.020e+01,149546,1.217e+01
6,1.134e+01,1.360e+01,1.247e+01,171504,1.361e+01
7,1.360e+01,1.587e+01,1.474e+01,79550,6.668e+00
8,1.587e+01,1.814e+01,1.700e+01,45917,2.758e+00
9,1.814e+01,2.041e+01,1.927e+01,32729,4.676e-01
10,2.041e+01,2.267e+01,2.154e+01,4032,1.913e-01
