case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case2,Test_027,54.0,-38.0,9521.795891327254,2,0.49833333333333335,0.4266666666666667,0.49833333333333335,0.075,high,data/New_Data/csv_6x8_Case2/force_disp_Test_027.csv,data/New_Data/6x8_Case2/Original/plot_Test_027_original.png
Case2,Test_028,36.0,-31.0,8691.726691902553,2,0.5666666666666667,0.18666666666666668,0.5666666666666667,0.24666666666666667,high,data/New_Data/csv_6x8_Case2/force_disp_Test_028.csv,data/New_Data/6x8_Case2/Original/plot_Test_028_original.png
Case2,Test_029,52.0,-41.0,9948.557492059788,1,0.55,0.55,0.43666666666666665,0.013333333333333334,high,data/New_Data/csv_6x8_Case2/force_disp_Test_029.csv,data/New_Data/6x8_Case2/Original/plot_Test_029_original.png
Case2,Test_030,15.0,-12.0,5251.288295759243,3,0.88,0.01,0.11,0.88,low,data/New_Data/csv_6x8_Case2/force_disp_Test_030.csv,data/New_Data/6x8_Case2/Original/plot_Test_030_original.png
Case2,Test_031,-55.0,-62.0,8759.641011152311,1,0.9933333333333333,0.9933333333333333,0.006666666666666667,0.0,low,data/New_Data/csv_6x8_Case2/force_disp_Test_031.csv,data/New_Data/6x8_Case2/Original/plot_Test_031_original.png
Case2,Test_032,-19.0,-7.0,5185.574417957559,3,0.8633333333333333,0.008333333333333333,0.12833333333333333,0.8633333333333333,low,data/New_Data/csv_6x8_Case2/force_disp_Test_032.csv,data/New_Data/6x8_Case2/Original/plot_Test_032_original.png
Case2,Test_033,-61.0,86.0,5969.546683186627,1,0.7566666666666667,0.7566666666666667,0.24,0.0033333333333333335,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_033.csv,data/New_Data/6x8_Case2/Original/plot_Test_033_original.png
Case2,Test_034,-43.0,-15.0,7189.9768616189285,2,0.5,0.056666666666666664,0.5,0.44333333333333336,high,data/New_Data/csv_6x8_Case2/force_disp_Test_034.csv,data/New_Data/6x8_Case2/Original/plot_Test_034_original.png
Case2,Test_035,70.0,81.0,4882.522053844512,1,0.6933333333333334,0.6933333333333334,0.29333333333333333,0.013333333333333334,high,data/New_Data/csv_6x8_Case2/force_disp_Test_035.csv,data/New_Data/6x8_Case2/Original/plot_Test_035_original.png
Case2,Test_036,8.0,25.0,5723.711589671404,3,0.84,0.015,0.145,0.84,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_036.csv,data/New_Data/6x8_Case2/Original/plot_Test_036_original.png
Case2,Test_037,-85.0,67.0,5061.708373461187,1,0.72,0.72,0.275,0.005,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_037.csv,data/New_Data/6x8_Case2/Original/plot_Test_037_original.png
Case2,Test_038,-56.0,52.0,9709.61305981702,1,0.9966666666666667,0.9966666666666667,0.0033333333333333335,0.0,low,data/New_Data/csv_6x8_Case2/force_disp_Test_038.csv,data/New_Data/6x8_Case2/Original/plot_Test_038_original.png
Case2,Test_039,64.0,42.0,9277.786042753532,2,0.5283333333333333,0.4266666666666667,0.5283333333333333,0.045,high,data/New_Data/csv_6x8_Case2/force_disp_Test_039.csv,data/New_Data/6x8_Case2/Original/plot_Test_039_original.png
Case2,Test_040,-27.0,-54.0,8417.530425781799,2,0.6683333333333333,0.13833333333333334,0.6683333333333333,0.19333333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_040.csv,data/New_Data/6x8_Case2/Original/plot_Test_040_original.png
Case2,Test_041,-2.0,-68.0,6702.931568651364,2,0.7,0.04833333333333333,0.7,0.25166666666666665,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_041.csv,data/New_Data/6x8_Case2/Original/plot_Test_041_original.png
Case2,Test_042,84.0,51.0,8354.811920924474,1,0.7166666666666667,0.7166666666666667,0.2833333333333333,0.0,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_042.csv,data/New_Data/6x8_Case2/Original/plot_Test_042_original.png
Case2,Test_043,79.0,-71.0,4939.295628493121,1,0.8133333333333334,0.8133333333333334,0.18,0.006666666666666667,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_043.csv,data/New_Data/6x8_Case2/Original/plot_Test_043_original.png
Case2,Test_044,59.0,-56.0,8818.441250429847,1,0.995,0.995,0.0033333333333333335,0.0016666666666666668,low,data/New_Data/csv_6x8_Case2/force_disp_Test_044.csv,data/New_Data/6x8_Case2/Original/plot_Test_044_original.png
Case2,Test_045,-18.0,-35.0,7093.734274609654,3,0.585,0.06833333333333333,0.3466666666666667,0.585,high,data/New_Data/csv_6x8_Case2/force_disp_Test_045.csv,data/New_Data/6x8_Case2/Original/plot_Test_045_original.png
Case2,Test_046,-76.0,-77.0,4637.114811034692,1,0.73,0.73,0.24833333333333332,0.021666666666666667,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_046.csv,data/New_Data/6x8_Case2/Original/plot_Test_046_original.png
Case2,Test_047,42.0,27.0,8278.167950223326,2,0.6066666666666667,0.14,0.6066666666666667,0.25333333333333335,high,data/New_Data/csv_6x8_Case2/force_disp_Test_047.csv,data/New_Data/6x8_Case2/Original/plot_Test_047_original.png
Case2,Test_048,1.0,71.0,6563.966897470223,2,0.7816666666666666,0.03666666666666667,0.7816666666666666,0.18166666666666667,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_048.csv,data/New_Data/6x8_Case2/Original/plot_Test_048_original.png
Case2,Test_049,-37.0,22.0,7640.59598138308,2,0.5116666666666667,0.11833333333333333,0.5116666666666667,0.37,high,data/New_Data/csv_6x8_Case2/force_disp_Test_049.csv,data/New_Data/6x8_Case2/Original/plot_Test_049_original.png
Case2,Test_050,-16.0,44.0,7424.497940941248,2,0.615,0.08166666666666667,0.615,0.30333333333333334,high,data/New_Data/csv_6x8_Case2/force_disp_Test_050.csv,data/New_Data/6x8_Case2/Original/plot_Test_050_original.png
Case2,Test_051,28.0,57.0,8471.924162234927,2,0.6933333333333334,0.16166666666666665,0.6933333333333334,0.145,high,data/New_Data/csv_6x8_Case2/force_disp_Test_051.csv,data/New_Data/6x8_Case2/Original/plot_Test_051_original.png
Case2,Test_052,-79.0,34.0,8089.623952166233,2,0.7233333333333334,0.18,0.7233333333333334,0.09666666666666666,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_052.csv,data/New_Data/6x8_Case2/Original/plot_Test_052_original.png
Case2,Test_053,3.0,87.0,6098.058186982147,2,0.68,0.08,0.68,0.24,high,data/New_Data/csv_6x8_Case2/force_disp_Test_053.csv,data/New_Data/6x8_Case2/Original/plot_Test_053_original.png
Case2,Test_054,-17.0,-44.0,7421.836051918207,2,0.5233333333333333,0.06666666666666667,0.5233333333333333,0.41,high,data/New_Data/csv_6x8_Case2/force_disp_Test_054.csv,data/New_Data/6x8_Case2/Original/plot_Test_054_original.png
Case2,Test_055,44.0,-49.0,10521.145497330383,1,0.79,0.79,0.20833333333333334,0.0016666666666666668,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_055.csv,data/New_Data/6x8_Case2/Original/plot_Test_055_original.png
Case2,Test_056,67.0,-19.0,7457.372539385561,2,0.71,0.09666666666666666,0.71,0.19333333333333333,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_056.csv,data/New_Data/6x8_Case2/Original/plot_Test_056_original.png
Case2,Test_057,2.0,74.0,6405.916171308049,2,0.7616666666666667,0.05,0.7616666666666667,0.18833333333333332,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_057.csv,data/New_Data/6x8_Case2/Original/plot_Test_057_original.png
Case2,Test_058,82.0,19.0,6865.43639489073,2,0.7016666666666667,0.11166666666666666,0.7016666666666667,0.18666666666666668,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_058.csv,data/New_Data/6x8_Case2/Original/plot_Test_058_original.png
Case2,Test_059,14.0,3.0,4717.642775501623,3,0.8833333333333333,0.01,0.10666666666666667,0.8833333333333333,low,data/New_Data/csv_6x8_Case2/force_disp_Test_059.csv,data/New_Data/6x8_Case2/Original/plot_Test_059_original.png
Case2,Test_060,44.0,-84.0,8476.139210330086,2,0.49,0.44,0.49,0.07,high,data/New_Data/csv_6x8_Case2/force_disp_Test_060.csv,data/New_Data/6x8_Case2/Original/plot_Test_060_original.png
Case2,Test_061,0.0,-52.0,6982.430546621292,2,0.6066666666666667,0.041666666666666664,0.6066666666666667,0.3516666666666667,high,data/New_Data/csv_6x8_Case2/force_disp_Test_061.csv,data/New_Data/6x8_Case2/Original/plot_Test_061_original.png
Case2,Test_062,33.0,26.0,7825.111980807199,3,0.445,0.115,0.44,0.445,high,data/New_Data/csv_6x8_Case2/force_disp_Test_062.csv,data/New_Data/6x8_Case2/Original/plot_Test_062_original.png
Case2,Test_063,-75.0,38.0,8563.390357104494,2,0.6383333333333333,0.26,0.6383333333333333,0.10166666666666667,high,data/New_Data/csv_6x8_Case2/force_disp_Test_063.csv,data/New_Data/6x8_Case2/Original/plot_Test_063_original.png
Case2,Test_064,-20.0,55.0,7901.54588920378,2,0.7916666666666666,0.07,0.7916666666666666,0.13833333333333334,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_064.csv,data/New_Data/6x8_Case2/Original/plot_Test_064_original.png
Case2,Test_065,72.0,31.0,8147.862665178651,2,0.695,0.17833333333333334,0.695,0.12666666666666668,high,data/New_Data/csv_6x8_Case2/force_disp_Test_065.csv,data/New_Data/6x8_Case2/Original/plot_Test_065_original.png
Case2,Test_066,75.0,72.0,5336.381554559695,1,0.6966666666666667,0.6966666666666667,0.295,0.008333333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_066.csv,data/New_Data/6x8_Case2/Original/plot_Test_066_original.png
Case2,Test_067,-83.0,68.0,5019.2438185102765,1,0.735,0.735,0.26,0.005,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_067.csv,data/New_Data/6x8_Case2/Original/plot_Test_067_original.png
Case2,Test_068,-26.0,-1.0,5676.006513480624,3,0.8433333333333334,0.011666666666666667,0.145,0.8433333333333334,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_068.csv,data/New_Data/6x8_Case2/Original/plot_Test_068_original.png
Case2,Test_069,-36.0,57.0,9222.005104701053,2,0.59,0.32166666666666666,0.59,0.08833333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_069.csv,data/New_Data/6x8_Case2/Original/plot_Test_069_original.png
Case2,Test_070,-89.0,-51.0,8218.407374803135,1,0.7083333333333334,0.7083333333333334,0.2783333333333333,0.013333333333333334,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_070.csv,data/New_Data/6x8_Case2/Original/plot_Test_070_original.png
Case2,Test_071,-45.0,-29.0,8526.26837285035,2,0.635,0.16333333333333333,0.635,0.20166666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_071.csv,data/New_Data/6x8_Case2/Original/plot_Test_071_original.png
Case2,Test_072,-29.0,13.0,6424.3572839207045,3,0.81,0.025,0.165,0.81,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_072.csv,data/New_Data/6x8_Case2/Original/plot_Test_072_original.png
Case2,Test_073,-22.0,46.0,7883.061316988637,2,0.7116666666666667,0.11,0.7116666666666667,0.17833333333333334,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_073.csv,data/New_Data/6x8_Case2/Original/plot_Test_073_original.png
Case2,Test_074,-1.0,-8.0,4451.753183748477,3,0.89,0.01,0.1,0.89,low,data/New_Data/csv_6x8_Case2/force_disp_Test_074.csv,data/New_Data/6x8_Case2/Original/plot_Test_074_original.png
Case2,Test_075,-22.0,82.0,7140.0069826958015,2,0.8333333333333334,0.075,0.8333333333333334,0.09166666666666666,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_075.csv,data/New_Data/6x8_Case2/Original/plot_Test_075_original.png
Case2,Test_076,50.0,5.0,6882.051461065925,2,0.5583333333333333,0.04833333333333333,0.5583333333333333,0.3933333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_076.csv,data/New_Data/6x8_Case2/Original/plot_Test_076_original.png
Case2,Test_077,-64.0,20.0,7734.016319599558,2,0.7533333333333333,0.08,0.7533333333333333,0.16666666666666666,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_077.csv,data/New_Data/6x8_Case2/Original/plot_Test_077_original.png
Case2,Test_078,29.0,-79.0,7801.410685951278,2,0.745,0.13666666666666666,0.745,0.11833333333333333,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_078.csv,data/New_Data/6x8_Case2/Original/plot_Test_078_original.png
Case2,Test_079,-67.0,39.0,9031.897191912816,2,0.59,0.3283333333333333,0.59,0.08166666666666667,high,data/New_Data/csv_6x8_Case2/force_disp_Test_079.csv,data/New_Data/6x8_Case2/Original/plot_Test_079_original.png
Case2,Test_080,-53.0,-64.0,10022.690442720746,1,0.9916666666666667,0.9916666666666667,0.008333333333333333,0.0,low,data/New_Data/csv_6x8_Case2/force_disp_Test_080.csv,data/New_Data/6x8_Case2/Original/plot_Test_080_original.png
Case2,Test_081,-38.0,-72.0,8623.329098569639,2,0.62,0.2683333333333333,0.62,0.11166666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_081.csv,data/New_Data/6x8_Case2/Original/plot_Test_081_original.png
Case2,Test_082,85.0,48.0,8541.133070617376,1,0.485,0.485,0.47,0.045,high,data/New_Data/csv_6x8_Case2/force_disp_Test_082.csv,data/New_Data/6x8_Case2/Original/plot_Test_082_original.png
Case2,Test_083,-12.0,85.0,6469.676495298109,2,0.805,0.056666666666666664,0.805,0.13833333333333334,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_083.csv,data/New_Data/6x8_Case2/Original/plot_Test_083_original.png
Case2,Test_084,77.0,-48.0,8873.14242246668,1,0.5183333333333333,0.5183333333333333,0.45666666666666667,0.025,high,data/New_Data/csv_6x8_Case2/force_disp_Test_084.csv,data/New_Data/6x8_Case2/Original/plot_Test_084_original.png
Case2,Test_085,45.0,75.0,8820.673524178555,2,0.49833333333333335,0.45,0.49833333333333335,0.051666666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_085.csv,data/New_Data/6x8_Case2/Original/plot_Test_085_original.png
Case2,Test_086,-41.0,-54.0,9783.43413189393,1,0.5233333333333333,0.5233333333333333,0.46,0.016666666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_086.csv,data/New_Data/6x8_Case2/Original/plot_Test_086_original.png
Case2,Test_087,-38.0,89.0,8148.1670531146465,2,0.6733333333333333,0.25833333333333336,0.6733333333333333,0.06833333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_087.csv,data/New_Data/6x8_Case2/Original/plot_Test_087_original.png
Case2,Test_088,23.0,33.0,7460.41728258192,3,0.505,0.10666666666666667,0.3883333333333333,0.505,high,data/New_Data/csv_6x8_Case2/force_disp_Test_088.csv,data/New_Data/6x8_Case2/Original/plot_Test_088_original.png
Case2,Test_089,18.0,-35.0,7102.865823575253,3,0.5533333333333333,0.07166666666666667,0.375,0.5533333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_089.csv,data/New_Data/6x8_Case2/Original/plot_Test_089_original.png
Case2,Test_090,-65.0,24.0,7973.467306102667,2,0.755,0.095,0.755,0.15,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_090.csv,data/New_Data/6x8_Case2/Original/plot_Test_090_original.png
Case2,Test_091,11.0,36.0,6623.763100136949,3,0.68,0.041666666666666664,0.2783333333333333,0.68,high,data/New_Data/csv_6x8_Case2/force_disp_Test_091.csv,data/New_Data/6x8_Case2/Original/plot_Test_091_original.png
Case2,Test_092,-38.0,-40.0,9705.169197923227,1,0.47333333333333333,0.47333333333333333,0.4166666666666667,0.11,high,data/New_Data/csv_6x8_Case2/force_disp_Test_092.csv,data/New_Data/6x8_Case2/Original/plot_Test_092_original.png
Case2,Test_093,-70.0,-78.0,5141.092540072209,1,0.7833333333333333,0.7833333333333333,0.21166666666666667,0.005,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_093.csv,data/New_Data/6x8_Case2/Original/plot_Test_093_original.png
Case2,Test_094,73.0,-55.0,8484.175148496359,1,0.98,0.98,0.02,0.0,low,data/New_Data/csv_6x8_Case2/force_disp_Test_094.csv,data/New_Data/6x8_Case2/Original/plot_Test_094_original.png
Case2,Test_095,68.0,-30.0,8254.737719482788,2,0.72,0.16,0.72,0.12,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_095.csv,data/New_Data/6x8_Case2/Original/plot_Test_095_original.png
Case2,Test_096,84.0,-52.0,8136.571470146959,1,0.8433333333333334,0.8433333333333334,0.15666666666666668,0.0,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_096.csv,data/New_Data/6x8_Case2/Original/plot_Test_096_original.png
Case2,Test_097,-46.0,-23.0,7986.643707302327,2,0.6233333333333333,0.095,0.6233333333333333,0.2816666666666667,high,data/New_Data/csv_6x8_Case2/force_disp_Test_097.csv,data/New_Data/6x8_Case2/Original/plot_Test_097_original.png
Case2,Test_098,-1.0,36.0,6404.958483913311,3,0.75,0.03166666666666667,0.21833333333333332,0.75,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_098.csv,data/New_Data/6x8_Case2/Original/plot_Test_098_original.png
Case2,Test_099,90.0,40.0,8215.773863954897,2,0.51,0.3983333333333333,0.51,0.09166666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_099.csv,data/New_Data/6x8_Case2/Original/plot_Test_099_original.png
Case2,Test_100,69.0,62.0,7081.632605192604,1,0.8883333333333333,0.8883333333333333,0.11166666666666666,0.0,low,data/New_Data/csv_6x8_Case2/force_disp_Test_100.csv,data/New_Data/6x8_Case2/Original/plot_Test_100_original.png
Case2,Test_101,48.0,15.0,7429.178405854709,2,0.58,0.06666666666666667,0.58,0.35333333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_101.csv,data/New_Data/6x8_Case2/Original/plot_Test_101_original.png
Case2,Test_102,76.0,-24.0,7455.125014670916,2,0.74,0.10666666666666667,0.74,0.15333333333333332,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_102.csv,data/New_Data/6x8_Case2/Original/plot_Test_102_original.png
Case2,Test_103,66.0,14.0,7189.015073169982,2,0.68,0.07666666666666666,0.68,0.24333333333333335,high,data/New_Data/csv_6x8_Case2/force_disp_Test_103.csv,data/New_Data/6x8_Case2/Original/plot_Test_103_original.png
Case2,Test_104,83.0,3.0,6095.790171109128,2,0.525,0.105,0.525,0.37,high,data/New_Data/csv_6x8_Case2/force_disp_Test_104.csv,data/New_Data/6x8_Case2/Original/plot_Test_104_original.png
Case2,Test_105,89.0,-77.0,3788.5020060740267,1,0.655,0.655,0.295,0.05,high,data/New_Data/csv_6x8_Case2/force_disp_Test_105.csv,data/New_Data/6x8_Case2/Original/plot_Test_105_original.png
