File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.600e+01
Avg = 1.475e+01
SD = 9.517e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.600e+00,1.800e+00,129338,1.385e+01
2,3.600e+00,7.200e+00,5.400e+00,172493,1.899e+01
3,7.200e+00,1.080e+01,9.000e+00,87371,9.587e+00
4,1.080e+01,1.440e+01,1.260e+01,68693,7.490e+00
5,1.440e+01,1.800e+01,1.620e+01,67925,7.424e+00
6,1.800e+01,2.160e+01,1.980e+01,86466,9.459e+00
7,2.160e+01,2.520e+01,2.340e+01,150233,1.648e+01
8,2.520e+01,2.880e+01,2.700e+01,101181,1.105e+01
9,2.880e+01,3.240e+01,3.060e+01,44552,4.570e+00
10,3.240e+01,3.600e+01,3.420e+01,31880,1.105e+00
