File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.210e+01
Avg = 1.756e+01
SD = 1.258e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.210e+00,2.105e+00,118488,2.038e+01
2,4.210e+00,8.420e+00,6.315e+00,71115,1.252e+01
3,8.420e+00,1.263e+01,1.052e+01,65416,1.148e+01
4,1.263e+01,1.684e+01,1.473e+01,33925,5.734e+00
5,1.684e+01,2.105e+01,1.894e+01,37396,6.270e+00
6,2.105e+01,2.526e+01,2.315e+01,58721,1.031e+01
7,2.526e+01,2.947e+01,2.736e+01,53559,9.425e+00
8,2.947e+01,3.368e+01,3.157e+01,55568,9.770e+00
9,3.368e+01,3.789e+01,3.578e+01,64064,1.094e+01
10,3.789e+01,4.210e+01,3.999e+01,42348,3.170e+00
