File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.587e+01
Avg = 5.613e+00
SD = 3.216e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.587e+00,7.936e-01,385662,8.439e+00
2,1.587e+00,3.174e+00,2.381e+00,960656,2.241e+01
3,3.174e+00,4.762e+00,3.968e+00,627108,1.476e+01
4,4.762e+00,6.349e+00,5.555e+00,501290,1.164e+01
5,6.349e+00,7.936e+00,7.142e+00,576442,1.351e+01
6,7.936e+00,9.523e+00,8.730e+00,735728,1.709e+01
7,9.523e+00,1.111e+01,1.032e+01,334550,7.867e+00
8,1.111e+01,1.270e+01,1.190e+01,145337,3.270e+00
9,1.270e+01,1.428e+01,1.349e+01,59004,7.622e-01
10,1.428e+01,1.587e+01,1.508e+01,4032,2.442e-01
