File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.665e+01
Avg = 1.941e+01
SD = 1.331e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.665e+00,2.333e+00,117136,1.635e+01
2,4.665e+00,9.330e+00,6.998e+00,117147,1.741e+01
3,9.330e+00,1.400e+01,1.166e+01,79036,1.156e+01
4,1.400e+01,1.866e+01,1.633e+01,44869,6.469e+00
5,1.866e+01,2.333e+01,2.099e+01,45747,6.565e+00
6,2.333e+01,2.799e+01,2.566e+01,62619,9.204e+00
7,2.799e+01,3.266e+01,3.032e+01,63928,9.489e+00
8,3.266e+01,3.732e+01,3.499e+01,76430,1.095e+01
9,3.732e+01,4.199e+01,3.965e+01,61618,8.837e+00
10,4.199e+01,4.665e+01,4.432e+01,50878,3.168e+00
