File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.359e+01
Avg = 8.531e+00
SD = 5.256e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.359e+00,1.179e+00,186522,1.229e+01
2,2.359e+00,4.718e+00,3.538e+00,294630,2.122e+01
3,4.718e+00,7.077e+00,5.897e+00,182566,1.305e+01
4,7.077e+00,9.436e+00,8.256e+00,139658,9.894e+00
5,9.436e+00,1.179e+01,1.062e+01,162359,1.156e+01
6,1.179e+01,1.415e+01,1.297e+01,176897,1.256e+01
7,1.415e+01,1.651e+01,1.533e+01,182498,1.266e+01
8,1.651e+01,1.887e+01,1.769e+01,71192,4.956e+00
9,1.887e+01,2.123e+01,2.005e+01,51442,1.594e+00
10,2.123e+01,2.359e+01,2.241e+01,5964,2.204e-01
