File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.058e+01
Avg = 2.019e+01
SD = 1.469e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.058e+00,2.529e+00,252918,2.291e+01
2,5.058e+00,1.012e+01,7.586e+00,146552,1.378e+01
3,1.012e+01,1.517e+01,1.264e+01,93379,8.569e+00
4,1.517e+01,2.023e+01,1.770e+01,64081,5.786e+00
5,2.023e+01,2.529e+01,2.276e+01,67872,6.206e+00
6,2.529e+01,3.035e+01,2.782e+01,107768,1.003e+01
7,3.035e+01,3.540e+01,3.287e+01,121052,1.128e+01
8,3.540e+01,4.046e+01,3.793e+01,143246,1.310e+01
9,4.046e+01,4.552e+01,4.299e+01,73402,6.670e+00
10,4.552e+01,5.058e+01,4.805e+01,43274,1.669e+00
